id,character_name,main_storyseries,author,genre,type_of_rep,gender,importance,sexual_orientation,romantic_orientation,relationships,pairing_qpp_or_romantic,rep_noteswarnings,cover
173,Abigail,Thaw,Elyse Springer,"Contemporary, Romance",On Page,F,Main,Asexual,,,F/F,,
174,Jake,Ace,Jack Byrne,"Contemporary, Romance",Word of God,M,Main,Demisexual,,,M/M,,
175,Richard,Society of Gentlemen,K.J. Charles,"Historical, Romance",Word of God,M,Main,Demisexual,,,M/M,,
176,Tash (Natasha),Tash Hearts Tolstoy,Kathryn Ormsbee,"Contemporary, Young Adult",Word Used,F,Lead,Asexual,Heteroromantic,,,"Acemisia, aromisia, ableist language, Allo Saviour narrative, defines aceness as not wanting sex",
177,Kerewin,The Bone People,Keri Hulme,Literary Fiction,On Page,F,Lead,Asexual,,,,,
178,Connor,Not Even Close,Lisa Oliver,Paranormal Romance,Word Used,M,Lead,Demisexual,,,M/M,,
179,Ollie,Model Citizen,Lissa Kasey,"Mystery, Romance",On Page,M,Main,Demisexual,,,M/M,,
180,Rachel,Far From Home,Lorelie Brown,"Contemporary, Romance",Word Used,F,Main,Demisexual,,,F/F,Rachel is anorexic. The book features the Allosexual Saviour trope and includes several amisic comments.,
181,Marcus,Taking the Long Way,Max MacGowan,"Contemporary, Romance",On Page,M,Main,Demisexual,,,M/M,,
182,Istari,The Painted Crown,Megan Derr,Fantasy,On Page,M,Main,Gray-asexual,,,M/M,,
183,Teverem,The Painted Crown,Megan Derr,Fantasy,On Page,M,Main,Demisexual,,,M/M,,
184,Levi,Overexposed,Megan Erickson,"Contemporary, Romance",Word of God,M,Lead,Demisexual,Homoromantic,,M/M,,
185,Nick,The Pardoner's Tale,Morgan Ferdinand,"Paranormal Romance, Urban Fantasy",Word of God,M,Main,Demisexual,,,M/M,,
186,Emma,Without Benefits,Nicole Tone,"Contemporary, Romance",Word of God,F,Lead,Demisexual,,,M/F,,
187,Neil,All for the Game,Nora Sakavic,"Contemporary, Romance, Sports",On Page,M,Lead,Demisexual,,,M/M,Heavily implied connection between aceness and abuse.,
188,Tai,Into the Blue,Pene Henson,"Contemporary, Romance",Word of God,M,Lead,Demisexual,,,M/NB,,
189,Rachel,Inertia,Rebecca Schwartz,Fantasy,Word of God,F,Lead,Demisexual,,,M/F,,
190,Kaitar Besh,Salt in the Water,S. Cushaway,Post-Apocalyptic,Word of God,M,Lead,Demisexual,,,M/M,,
191,Valdrin,Five Boroughs (Concourse),Santino Hassell,"Contemporary, Romance",On Page,M,Main,Demisexual,Demiromantic,,M/M,NOT RECOMMENDED - Turns out author was a catfish and an abuser. Romantic and sexual attractions not well distinguished.,
192,Adam,High and Tight,Vanessa North,"Contemporary, Romance",Word of God,M,Main,Demisexual,Homoromantic,,M/M,,
193,Victor,Frankenstein's Family,Elizabeth Barrette,Fantasy,On Page,M,Lead,Gray-asexual,Grey-romantic,,M/F/F,"Victor and Igor are sexually fluid. The stronger their QPP gets, the less they're interested in sexual relationships with anyone",
194,Igor,Frankenstein's Family,Elizabeth Barrette,Fantasy,On Page,M,Lead,Gray-asexual,Grey-romantic,,M/F/F,"Victor and Igor are sexually fluid. The stronger their QPP gets, the less they're interested in sexual relationships with anyone",
195,Val,Heels Over Head,Elyse Springer,"Contemporary, Romance",On Page,F,Side,Demisexual,Biromantic,,,,
196,Ruth,Ramona Blue,Julie Murphy,"Contemporary, Romance",Word Used,F,Side,Demisexual,Homoromantic,,,Ruth stating she is demisexual is treated as sort of a joke. Story states that human beings think about sex.,
197,Felicity,The Guide Series,Mackenzi Lee,"Historical, Young Adult",Word of God,F,Side,Asexual,Aromantic,,,"Questionning character. This is not explored yet, but has been confirmed by author. Placed in the umbrella until we have more information (she leads Book 2)",
198,Valentine,Seven Ways We Lie,Riley Redgate,"Contemporary, Romance, Young Adult",Word Used,M,Main,Asexual,Aromantic,,M/M,Valentine's consent is constantly pushed or ignored. Character is a loner.,
199,Skylar,Antisocial,Heidi Cullinan,"Contemporary, Romance",Word Used,M,Lead,Gray-asexual,Homoromantic,Lover,M/M,"Allosexual Saviour Trope, acemisia, complete absence of questioning or acknowledging romantic attractions.",
200,Vaughn,Toronto Connections (Blank Spaces),Cass Lennox,"Contemporary, Romance",On Page,M,Lead,Asexual,Homoromantic,,M/M,"Sexual boundaries pushed by allo partner, [ending spoilers] open relationship for partner's sexual needs",
201,Arimas,The Ibex Tattoo,Gwen C. Katz,Historical,On Page,F,Lead,Asexual,Homoromantic,"QPR, Friends",F/F,,
202,"Nicholas ""Pardoner"" Powell",The Pardoner's Tale,Morgan Ferdinan,Urban Fantasy,Word of God,M,Lead,Gray-asexual,Biromantic,Found family,,,
203,Taro Torres,Uncommonly Tidy Poltergeists,Angel Martinez,Paranormal,Word Used,M,Lead,Asexual,Homoromantic,Family,M/M,,
204,Adaeze Durgakurma,Opal Charm,Miri Castor,"Urban Fantasy, Young Adult",Word Used,F,Main,Asexual,Homoromantic,"Family, Friends",F/F,,
205,Arthur Drams,The Agency,Ada Maria Soto,"Contemporary, Romance",Word Used,M,Lead,Demisexual,Homoromantic,"Romance, Friendship, Family (Immediate and Father's Mistress)",M/M,"Second ace character (Martin) nicknamed ""Alien Agent""",
206,Montgomery,Lone Star on a Cowboy Heart,Marie S. Crosswell,Contemporary,On Page,M,Lead,Asexual,Aromantic,Friendship,,Divorced because he felt his wife deserved better than someone who didn't want sex,
207,Brennan Cross,All the Wrong Places,Ann Gallagher,"Contemporary, Romance",Word Used,M,Lead,Asexual,Biromantic,,M/M,"Has been dumped by three women because he did not ""meet their needs""",
208,Zafir,All the Wrong Places,Ann Gallagher,"Contemporary, Romance",Word Used,M,Main,Asexual,Homoromantic,,M/M,,
209,Cy,How to Not Summon Your True Love,Sasha L. Miller,"Romance, Urban Fantasy",Word Used,M,Lead,Asexual,Homoromantic,,M/M,,
210,Wes,Mr March Names the Stars,Rivka Aarons-Hughes,"Contemporary, Romance",Word Used,M,Lead,Asexual,Homoromantic,,,,
211,Nash,Mr March Names the Stars,Rivka Aarons-Hughes,"Contemporary, Romance",Word Used,M,Main,Asexual,Panromantic,,M/M,,
212,Casey,How to Be a Normal Person,TJ Klune,"Contemporary, Romance",On Page,M,Main,Asexual,Homoromantic,,M/M,,
213,Holly,Perfect Rythm,Jae,Contemporary,Word Used,F,Lead,Asexual,Homoromantic,,F/F,"Initially defines asexuality as not liking sex, allo partner is initially very acemisic, never apologizes",
214,Serena Nolan,Second Chance,Chelsea M. Cameron,"Contemporary, Romance, New Adult",Word Used,F,Lead,Demisexual,Demiromantic,,F/F,Bisexual/Biromantic,
215,Fier,More Than Enough,Elizabeth Wambheim,Fantasy (Retelling),On Page,M,Lead,Asexual,Homoromantic,QPR,M/M,,
216,Petra,More Than Enough,Elizabeth Wambheim,Fantasy (Retelling),On Page,M,Main,Asexual,,QPR,M/M,,
217,Rose Weaver,"Queerly Loving, vol 1",E. H. Timms,Fantasy,Word Used,F,Side,Demisexual,Aromantic,"Guild, family, QPR",M/F,"Aromantic is word used, demi-sexuality is word of god",
218,Cavallan Kee (Val),"Queerly Loving, Vol 1",E. H. Timms,Fantasy,Word Used,M,Lead,Gray-asexual,Aromantic,"Friendship, Family, QPR",M/F,,
219,Jude,Stake Sauce,RoAnna Sylver,"Romance, Urban Fantasy",Word Used,M,Lead,Gray-asexual,Grey-romantic,"Friendship, Polycule",M/M/M/M,,
220,Eva,Stake Sauce,RoAnna Sylver,"Romance, Urban Fantasy",Word Used,F,Side,Asexual,Aromantic,Friends,,,
221,Danny Kim,The Trouble,Daria Defore,"Contemporary, Romance, New Adult",Word Used,M,Lead,Gay,Aromantic,Friendship (Bandmates),M/M,Explicit sexual content,
222,"Josephina ""Jo"" Zepeda",Any Way the Wind Blows,Carlin Grant,"Contemporary, Romance",Word Used,F,Lead,Asexual,Aromantic,,,Acquaintances to close friends!,
223,Callie,Any Way the Wind Blows,Carlin Grant,"Contemporary, Romance",Word Used,F,Lead,Asexual,Aromantic,,,Acquaintances to close friends!,
224,Aly,District Ballet Company,Katherine Locke,"Contemporary, Romance",On Page,F,Lead,Demisexual,Heteroromantic,,M/F,Explicit sex,
225,Joan,At the Edges,Alden Lila Reedy,"Romance, Science Fiction",Word Used,F,Lead,Asexual,Homoromantic,Crew,F/F,Sex-repulsed,
226,Kayla,As Autumn Leaves,Kate Sands,"Contemporary, Romance, Young Adult",Word Used,F,Lead,Asexual,Homoromantic,Friendship,F/F,Questioning storyline,
227,Nerissa,Lost and Found,J. Holland,"Romance, Urban Fantasy",On Page,F,Lead,Asexual,Homoromantic,,F/F,Non-human ace character,
228,Abigail,Welcome to Your Afterlife,Stephanie Rabig,"Fantasy, Romance",Word Used,F,Lead,Asexual,Homoromantic,,F/F,Touch averse. Dead when story starts. Supposed to work as a succubus.,
229,Christie,We Go Forward,Alison Evans,"Contemporary, New Adult",Word Used,F,Lead,Asexual,Aromantic,Friendship,,,
230,Penelope,Endless Days of Summer,Stacey O'Steen,Contemporary,Word Used,F,Lead,Asexual,Homoromantic,,F/F,Coming of age/self-discovery,
231,Carla,Making Love,Aidan Wayne,"Fantasy, Romance",On Page,F,Lead,Demisexual,Homoromantic,,F/F,,
232,Emma,Sidekick Squad,C. B. Lee,"Fantasy, Science Fiction, Superhero, Young Adult",Word Used,F,Side,Asexual,Arospec,Squad,,Questioning for arospec. Latinx.,
233,Alice,Let's Talk About Love,Claire Kann,"Contemporary, Romance, New Adult",Word Used,F,Lead,Asexual,Biromantic,"Friends, Romance, Family",M/F,"Black ace lead! Very clear and detailed examples of anti-aceness (all discussed, called out, etc.), discussion of the ace spectrum and some questioning, discussion of different types of attractions",
234,Corey,Before I Let Go,Marieke Nijkamp,"Contemporary, Mystery",Word Used,F,Lead,Asexual,Arospec,Friendship,,,
235,Hunter Ross,A Murder's Hunt,Danica Taylor,"Contemporary, Mystery",Word Used,F,Lead,Heterosexual,Aromantic,QPR,M/F,,
236,Charlie,epicene,Constance Bougie,Contemporary,Word Used,Enby,Lead,,Aromantic,,Enby/Enby,,
237,Florence,Capricious Issue 9,Penny Stirling,Fantasy,On Page,F,Lead,Asexual,Demiromantic,Romantic,F/Enby,Sex-repulsed,
238,Emras,Banner of the Damned,Sherwood Smith,Fantasy,On Page,F,Lead,Asexual,Alloromantic,,,,
239,Xia Yu,Life On A String,Nico H,Contemporary,,F,,Asexual,Aromantic,Found family,No,Trans woman,
240,Tsukune Matsuda,Mahou Shonen: Just Say No,Nico H,"Fantasy (Magical Girl, Dark)",On Page,M,Main,Asexual,Aromantic,Team,No,,
241,Issac Tillman-Voss,Second Sentinels,Lee Blauersouth,"Fantasy, Science Fiction, Superheroes, Young Adult",Word Used,M,Lead,Asexual,Heteroromantic,"Family (siblings), Parent to AI",,,
242,Ella Brenson,On A Summer Night,Gabriel Vidrine,"Contemporary, Romance, Young Adult",Word Used,F,Main,Asexual,Aromantic,Friendship,,"TW aro-antagonism that is left unchecked in character's internal narration. Contains ace antagonism, dealt with in story. Character is best friend to a bi trans boy MC",
243,Rin,Werecockroach,Polenth Blake,Science Fiction (Science Fantasy),Word Used,Enby,Lead,Asexual,Aromantic,"Friends, Found Family",,Estranged from birth family,
244,Pete,Werecockroach,Polenth Blake,Science Fiction (Science Fantasy),Word Used,M,Main,Asexual,Aromantic,QPP,M/M,Touch averse and dislikes labels,
245,Sir Violet,The Dragon of Ynys,Minerva Cerridwen,Fantasy,On Page,M,Lead,Asexual,Aromantic,Friendship,,"Character endures a few microaggressions and unwanted sexual advances as ""jokes""",
246,Renee Martin,The Chronicles of Plagos City,Tylea Manning,"Paranormal, Urban Fantasy",Word Used,F,Main,Asexual,Aromantic,"Found Family, Friends",M/M,"Initially dates someone who she believes she has a crush on, but she experiences ace and aro antogonism and boundary issues from her partner.",
247,Jay Mitra,The Chronicles of Plagos City,Tylea Manning,"Paranormal, Urban Fantasy",Word of God,Enby,Main,Asexual,Aromantic,Found Family,,,
248,Raul Casales,The Chronicles of Plagos City,Tylea Manning,"Paranormal, Urban Fantasy",Word of God,M,Side,Asexual,Aromantic,"Found Family, Friends, Family",,Story contains ace antagonism,
249,Mackenzie Biles,The Chronicles of Plagos City,Tylea Manning,"Paranormal, Urban Fantasy",Word Used,F,Lead,Pansexual,Aromantic,Found Family,,,
250,Aron Vaughan,Networked,Tylea Manning,Science Fiction,On Page,Enby,Main,Asexual,Aromantic,Found Family,,Story contains ace & aro antagonism,
251,Sasha,Scale Hearts,Marie Blanchet,Fantasy,On Page,F,Lead,Bisexual,Aromantic,Friendship,,Aro antagonism + male character pressures Sasha to have a relationship despite refusal,
252,Georgina Jennings,Restraint,Anne Hawley,"Historical, Romance",On Page,F,Side,Asexual,Aromantic,"Family, Marriage of Friendship",,"Described as ""lacking the passions that drives others"", willingly enters a sexless marriage with a gay man",
253,Faelen,Chronicles of Tournai,Antonia Anquilante,"Fantasy, Romance",On Page,M,Lead,Demisexual,Homoromantic,"Family, Found Family, Friendship, Romance",,,
254,Zavier Demos,Twisted Wishes,Anna Zabo,"Contemporary, Romance",Word Used,M,Lead,Pansexual,Aromantic,Mentor,M/M,"Descriptions of past aro antagonism, epilogue may be perceived as reinforcing amatonormativity (see reviews)",
255,Teague Martell,Licence to Love,Tamsen Parker,"Contemporary, Romance",Word Used,M,Lead,Demisexual,Biromantic,Bandmate,,,
256,Wolf,The Balloonmakers,Katherine Locke,"Historical, Fantasy, Young Adult",On Page,M,Lead,Demisexual,Homoromantic,Family (siblings),,,
257,Neila Roddenberry,Psychic Underground,Sarah Elkins,"Fantasy, Thriller, Paranormal",Word Used,F,Lead,Asexual,,,,Romantic orientation seems unknown. No romance within this book.,
258,Ash,Margins and Murmurations,Otter Lieffe,"Science Fiction, Dystopia",On Page,F,Lead,,Aromantic,Friendship,,Ash is a trans woman,
259,Claude/Claire,Baker Thief,Claudie Arseneault,"Fantasy, Superhero",Word Used,Enby,Lead,Bisexual,Aromantic,"Family, Friendship, Mentor, QPR",F/NB,Primarily attracted to women and femme non-binary genders,
260,Adèle,Baker Thief,Claudie Arseneault,"Fantasy, Superhero",Word Used,F,Lead,Demisexual,Biromantic,"Family, Team, QPR",F/Enby,,
261,Livia,Baker Thief,Claudie Arseneault,"Fantasy, Superhero",Word Used,F,Side,Gray-asexual,Grey-romantic,"Family, Friends",,"Aromanticism discussed towards the end, Questionning",
262,Emmanuelle,Baker Thief,Claudie Arseneault,"Fantasy, Superhero",Word of God,Enby,Main,Demisexual,Demiromantic,"Family, Pets (cats)",,,
263,Koyani,Baker Thief,Claudie Arseneault,Fantasy,Word of God,F,Side,Gray-asexual,Homoromantic,Team,,,
264,Yuri,Baker Thief,Claudie Arseneault,Fantasy,Word of God,M,Side,Asexual,WTFRomantic,"Team, Pet (Iguana)",,"Autochorissexual, trans man",
265,Denise Jalbert,Baker Thief,Claudie Arseneault,"Fantasy, Superhero",Word Used,F,Side,Asexual,Aromantic,,,"Nicknamed ""The Spinster"", an insult she reclaimed during a political campaign. Old aromantic mentor",
266,Daisy Yuen,The Camellia Clock Cycle,Taylor Brooke,"Contemporary, Romance, Fantasy, New Adult",Word Used,F,Lead,Demisexual,Panromantic,Queer Found Family,F/F,,
267,Dawson Winters,The Isolation Series,Taylor Brooke,Science Fiction,Word Used,M,Main,Demisexual,Panromantic,Polyamorous Quad,M/M/F/F,,
268,Tamara Rourke,Keiko Series,Mike Brooks,Science Fiction,On Page,F,Lead,Asexual,,Crewmates,,,
269,Orsie Havesskadi,Havesskadi,Ava Kelly,Fantasy,On Page,M,Lead,Asexual,Panromantic,Romance,M/M,,
270,Grace Pembleton,The Stroke of Thirteen,Carrie Gessner,"Contemporary, Urban Fantasy",Word of God,F,Lead,Asexual,,Friendship,,,
271,Dejean Gayle,These Treacherous Tides,D. N. Bryn,"Fantasy, Steampunk",On Page,M,Main,Asexual,Panromantic,"Found Family, QPR",M/Enby,,
272,Vira Montgomery,Summer of Salt,Katrina Leno,"Fantasy, Romance, Young Adult",Word Used,F,Side,Asexual,Aromantic,"Family, Romance",F/F,tw rape,
273,Aisha,Hullmetal Girls,Emily Skrutskie,Science Fiction,Word Used,F,Lead,Asexual,Aromantic,Family,,Forced to experience two others' sex through telepathic link.,
274,Heinrich,"Loose in the Heel, Tight in the Toe",Valentine Wheeler,Fantasy,On Page,M,Main,Asexual,Aromantic,QPR,M/F,,
275,Sarah,Reality Stars,Laura Heffernan,"Contemporary, Romance",On Page,F,Side,Demisexual,,,,,
276,Eilian Sorrell,The Ingenious Mechanical Devices,Kara Jorgensen,"Historical, Fantasy",On Page,M,Lead,Asexual,Biromantic,"Wife, Friends, Mother",M/F,,
277,Lisa,Succubus Moon Series,Cailee Francis,Urban Fantasy,Word Used,F,Lead,Asexual,Homoromantic,Romantic partners,F/F,"Explicit sex, polyamory",
278,Marian,The Ice Princess's Fair Illussion,Lynn E. O'Connacht,Fantasy (Retelling),Word Used,F,Lead,Asexual,Homoromantic,"QPP, Family",F/F,"Trushbeard retelling. Acemisia (tackled), aromisia (tackled), sexual assault (major tw), PTSD (major tw), parental/spousal death, illness, unsupportive parents",
279,Edel,The Ice Princess's Fair Illussion,Lynn E. O'Connacht,Fantasy (Retelling),Word Used,F,Lead,Asexual,Aromantic,"QPP, Family",F/F,"Trushbeard retelling. Acemisia (tackled), aromisia (tackled), sexual assault (major tw), PTSD (major tw), parental/spousal death, illness, unsupportive parents",
280,Gregor,The Ice Princess's Fair Illussion,Lynn E. O'Connacht,Fantasy (Retelling),Word Used,M,Main,Demisexual,Arospec,QPR,,"Trushbeard retelling. Character is dead when story starts. Acemisia (tackled), aromisia (tackled), sexual assault (major tw), PTSD (major tw), parental/spousal death, illness, unsupportive parents",
281,Miren Lassiter,Same River Twice,Janet Poland,Mystery,On Page,F,Lead,Heterosexual,Aromantic,"Coworkers, Friends",,,
282,Vax,,E. S. Yu,"Romance, Science Fiction",Word Used,M,Lead,Asexual,Homoromantic,"Romance, Family",M/M,"Sex-averse (no explicit sex), trauma survivor",
283,Felicity,Among the Glimmering Flowers,Lynn E. O'Connacht,Fantasy,On Page,F,Lead,Demisexual,,"Family, friendship, a *heavily* implied later romantic marriage.",M/F,,
284,"Emilia (""Em"")",Ashveil Academy,J. Emery,"Fantasy, Romance",Word Used,Enby,Lead,Gray-asexual,Grey-romantic,"Friends, Romance,",M/F,"Questioning for asexuality and gender. tw for brief mentions of gender dysphoria, brief mentions of death including a very minor mention of a pet's death (natural causes)",
285,Iris,Now A Major Motion Picture,Cori McCarthy,"Contemporary, Romance, Young Adult",,F,Lead,Demisexual,Heteroromantic,,M/F,,
286,"Leanne ""Lee"" Bauer",That's Not What Happened,Kody Keplinger,"Contemporary, Young Adult",On Page,F,Lead,Asexual,,Friendship,,TW school shooting,
287,"Cassandra ""Cassie"" Gupta",Dare Mighty Things,Heather Kaczynski,"Science Fiction, Young Adult",Word Used,F,Lead,Asexual,Alloromantic,Friendship,,,
288,Avery Lavolier,Alkimia Fables,Elliott Dunstan,Urban Fantasy,On Page,Enby,Main,Demisexual,Demiromantic,"Friends, Found Family, Mentor",,"Polyamorous, Francophone, Bajun. Deals with antiblackness",
289,Jamal Kaye,Alkimia Fables,Elliott Dunstan,Urban Fantasy,On Page,F,Lead,Asexual,Homoromantic,"Friends, Found Family, Family (sister), Relationship",Enby-F/F,"Arab butch lesbian, has a stalker, prior sexual abuse/trauma. Adopted.",
290,Cassandra Angevin,Alkimia Fables,Elliott Dunstan,Urban Fantasy,On Page,F,Main,Asexual,Aromantic,"Found Family, Family (sister), Community Leadership",,"Autistic ace. Prior sexual and familial abuse/trauma, ""Ice Queen"" trope (discussed)",
291,Rowan,Never Heroes,Keezy Young,Dark Fantasy,On Page,F,Lead,Asexual,Aromantic,"Friends, Found Family",,,
292,Portia,Daughters of Britain,S. M. Carrière,Historical,On Page,F,Side,Asexual,Aromantic,Family (brother),M/F,Mention of rape,
293,Makumbo,Aether Eternius,Shannon Merrill,Fantasy,On Page,Enby,Lead,Asexual,Demiromantic,"Family (sister), Friendship, Guardian",,Non-human. Entire race is non-binary and asexual.,
294,Edmund,A Dance of Water and Air,Antonia Aquilante,"Fantasy, Romance",On Page,M,Lead,Demisexual,Biromantic,"Romance, Friends, Family, Found Family",M/M,,
295,Cora Moss,Learning Curves,Ceillie Simkiss,"Contemporary, Romance",Word Used,F,Lead,Demisexual,Panromantic,"Family, Romance",F/F,,
296,Natalie Oscott,Memoirs of Lady Trent,Marie Brennan,"Fantasy, Historical",On Page,F,Side,Asexual,Homoromantic,,,Anti-aceness in the first book of the series,
297,Javier,For Better or Worse,R. Cooper,"Contemporary, Romance",Word Used,M,Lead,Demisexual,Homoromantic,,M/M,,
298,Gabby Hernandez,Novis,Rachel Tonks Hill,Science Fiction,On Page,F,Main,Allosexual,Aromantic,"QPR, Friendship",F/F/F,"Moments of microaggressions against aces and aros, fade to black sex",
299,Mila,Novis,Rachel Tonks Hill,Science Fiction,Word Used,F,Side,Asexual,Aromantic,QPR,F/F,"Moments of microaggressions against aces and aros, fade to black sex",
300,Keredi,When We Find Our Voices,Eleanna Castroianni,Fantasy,On Page,Enby,Main,Asexual,Aromantic,QPR?,M/M/Enby,Links asexuality and aromanticism to biology. Aromanticism only implied.,
301,Helga,Beneath Yggdrasil's Shadow,Marie Hogebrandt,Fantasy,On Page,F,Lead,Asexual,Biromantic,,,,
302,Steve,From the Same Star,Nicole Field,"Contemporary, Romance",Word Used,F,Main,Asexual,Homoromantic,"Romance, Friendship",F/F,,
303,Martin Grove,The Agency,Ada Mario Soto,"Contemporary, Romance",On Page,M,Main,Asexual,Homoromantic,"Mentees (Library Children), Romance",M/M,"Is nicknamed ""the Alien Agent""",
304,Tessen,The Bacra Chronicles,Courtney M. Privett,Fantasy,,M,Lead,Asexual,Aromantic,"Friends, Found Family, Family, Dragonbind",,,
305,Rumi Seto,Summer Bird Blue,Akemi Dawn Bowman,Contemporary,Word Used,F,Lead,Asexual,Arospec,"Family, Neighbours",,"Multiracial (Japanese, Hawaiian, and white), Questioning narrative, prefers not to use labels yet but those indicated here are those she thinks best describe her.",
306,Adrian,Running with the Pack,"A. M. Burns, Caitlin Ricci","Contemporary, Romance, Young Adult",Word Used,M,Main,Asexual,Homoromantic,"Romance, Friendship",M/M/M,"Anti-aro microaggressions. Polyamory, some underlying Allo Saviour narrative.",
307,Alys,Beneath the Citadel,Destiny Soria,"Fantasy, Young Adult",Word Used,F,Main,Asexual,,"Friends, Family",,"Alys is Black, fat, and has anxiety. Likely aromantic, but that is never confirmed.",
308,Margaretha Rudolph,Blood-Thirsty Agent,Cynthia Ward,"Fantasy, Science Fiction",On Page,F,Side,Asexual,Aromantic,"Renfield, Servant, Friend, Found Family",,,
309,Dr Krüger,Blood-Thirsty Agent,Cynthia Ward,"Fantasy, Science Fiction",On Page,M,Main,Asexual,Aromantic,Family,,Villain,
310,Sherlock Holmes,Blood-Thirsty Agent,Cynthia Ward,"Fantasy, Science Fiction",Word of God,M,Side,Asexual,Aromantic,"Family, Friends, Mentor/Student",,Appears only in memories,
311,"Evangeline ""Zig""",The Melankholia Series,A. N. Mouse & Ace Layton,"Adventure, Dystopia",Word of God,F,Main,Asexual,Aromantic,"Friends, Family, Found Family",M/F,Has a close platonic relationship with her male partner,
312,"Marcellus ""Marc""",The Melankholia Series,A. N. Mouse & Ace Layton,"Adventure, Dystopia",On Page,M,Main,Asexual,Aromantic,"Friends, Family, Found Family",,,
313,Cass/Cassius,Odd Series,A. N. Mouse,Adventure,Word of God,Enby,Main,Asexual,Aromantic,"Friends, Found Family",,,
314,Annabelle Reveastre,The Ashen Path,A. N. Mouse,"Adventure, Romance",On Page,F,Lead,Demisexual,Demiromantic,"Romance, Friends, Found Family",M/F,Bi when attraction occurs,
315,Oliver Muriel,Lost Names,A. N. Mouse,"Science Fiction (Cyberpunk), Drama",On Page,M,Main,Bisexual,Aromantic,M/M,Found Family,Trans man with anxiety. Story contains explicit sex scenes,
316,Lefty,Kea's Flight,Erika Hammerschmidt,Science Fiction,Word Used,F,Main,Asexual,Homoromantic,"Friends, Found Family, QPR",F/F,Neurodivergent ace. Short term angst while coming to term with her aceness. ace lesbian relationship is between two important secondary characters,
317,MR,M.R.,Sean Crastien,Fantasy,On Page,M,Main,Asexual,Aromantic,Friends,,Attempted sexual assault (book 2),
318,Raven,M.R.,Sean Crastien,Fantasy,On Page,F,Main,Asexual,Aromantic,Friends,,,
319,Ro,M.R.,Sean Crastien,Fantasy,On Page,M,Main,Asexual,Aromantic,,,,
320,Zaiph,M.R.,Sean Crastien,Fantasy,On Page,M,Side,Asexual,Aromantic,Mentor,,,
321,Pengol,M.R.,Sean Crastien,Fantasy,On Page,Enby,Side,Asexual,Panromantic,Community,,,
322,Mr. Crowli,M.R.,Sean Crastien,Fantasy,On Page,M,Side,Asexual,Heteroromantic,Community,,,
323,Beatrice Driscoll,An Unexpected Invitation,Ceillie Simkiss,Fantasy,Word Used,F,Lead,Asexual,Aromantic,Friendship,,Character has severe motion sickness,
324,Selena,Soft on Soft,Em Ali,"Contemporary, Romance",Word Used,F,Main,Demisexual,Biromantic,Romance,F/F,"""Demisexual"" is the word used. Explicit sex. Mentions of anti-ace remarks. Character is fat and black.",
325,Evita,"The Birds, the Bess, And You and Me",Olivia Hinebaugh,"Contemporary, Young Adult",Word Used,F,Main,Asexual,Biromantic,Friendship,,Sometimes descriptive about sex,
326,Jordan,Jordan Sanders,Marina Ermakova,Urban Fantasy,On Page,F,Lead,Asexual,,"Family, Friendship",M/F,Protagonist makes slight mention that she might be touch averse,
327,Julia,Who I Was with Her,Nita Tyndall,"Contemporary, Young Adult",Word Used,F,Side,Asexual,Alloromantic,"Friendship, Romance",M/F,Julia figures out her asexuality throughout the book.,
328,Kalo Porla,Star Stories,Aurora Lee Thornton,Fantasy,Word of God,M,Lead,Demisexual,Demiromantic,"Important friendship, family (close sister), romantic soulmate, additional romantic partner, romance",M/M,"physical and psychological abuse, off-page rape, childhood abuse (not by family), death of romantic partner",
329,Gorfaliscalion “Fali” Frutaneon,Star Stories,Aurora Lee Thornton,Fantasy,Word of God,M,Side,Asexual,Panromantic,"Found family, friendship",M/F,,
330,Sardar Singh,Jane Steele,Lyndsay Faye,"Historical, Romance",On Page,M,Side,Asexual,,,,Character is Sikh,
331,Gōng-Tēon,Come Drink With Me,Michelle Kan,Fairytale,On Page,M,Lead,,Aromantic,Platonic soulmate,M/F,,
332,Zack,Snowed In: Zack and Richard,L.J. Hamlin,Romance,Word Used,M,Lead,Gay,Demiromantic,Romance,M/M,,
333,Ashley (Ash) Bennett,Rising from Ash,Jax Meyer,Contemporary Romance,Word Used,F,Lead,Demisexual,Homoromantic,"Friendship, Romance",F/F,Explicit sex with very clear consent,
334,Eris Rayne,Soulless,Madeline Brown,Dark fantasy,On Page,F,Lead,Asexual,Panromantic,"Adoptive family, Found family",M/F,,
335,Shannon,Gamer Girls,Laura Heffernan,Romantic comedy,Word Used,F,Lead,Demisexual,,"Found family, friends",M/F,,
336,Jamie “Izzy” Islington,Izzy and the Right Answer,R. Cooper,Romance,Word Used,M,Lead,Gray-asexual,Homoromantic,Romance,M/M/M,"Izzy is femme, neuroatypical and has anxiety",
337,Victor Nelson,Three Stupid Weddings,Ann Gallagher,"Contemporary Romance, Romantic comedy",Word Used,M,Lead,Asexual,Alloromantic,Romance,M/M,,
338,Retz Gallows,Deadly Drinks,Dorian Graves,Urban Fantasy,Word Used,M,Lead,Asexual,,Family,,Retz is possessed by a necromancer,
339,Aidan Swift,Blue Steel Chain,Alex Beecroft,"Contemporary, Romance",Word Used,M,Lead,Asexual,Homoromantic,Romance,M/M,Sexual assault,
340,Mag,Tales of the Wanderer,Garrett Robinson,Fantasy,Word of God,F,Main,Asexual,Alloromantic,,,,
