id,character_id,story_title,series_or_anthology,genre,story_length,type_of_rep,character_importance,rep_noteswarnings,other_noteswarnings,cover
164,119,The Lifeline Signal,Chameleon Moon,SF/Fantasy,Novel (long),Word used,Lead,,,
165,120,Life Within Parole,Chameleon Moon,SF/Fantasy,Anthology,Word of God,Main,,,
166,120,Chameleon Moon,Chameleon Moon,"SF/Fantasy, Superheroes",Novel (long),Word of God,Side,,"tw memory loss, torture, burns and fires in various ways, dismemberment, gunshots, transmisia (called out), possession",
167,121,Tales from Perach,Mangoverse,Fantasy,Anthology,On page,Main,Contains threats of sexual assault (for being pretty),"Story is """"Rivka in Port Saltspray""",
168,122,Climbing the Date Palm,Mangoverse,Fantasy,Novel (short),On page,Side,,"Likes to sleep with men, emotional connections with platonic female friends",
169,123,A Harvest of Ripe Figs,Mangoverse,Fantasy,Novella,On page,Side,,"Has a very important friendship with Dafna, in a unsavory marketplace duo",
170,124,The Well,Vitality (Final Issue),Fantasy,Anthology,Word of God,Lead,Meaningul relationship with the mother,,
171,125,The Fire's Stone,,Epic/High Fantasy,Novel (long),On Page,Main,"Heroine mostly doesn't want to marry. Tanya Huff later confirmed she would have used aromantic and asexual had she known, but it's not in the book so read with care",,
172,126,Bone Diggers,,SF,Novel (long),Word used,Side,,Drug usage and non-graphic sex scenes,
173,127,Commit to the Kick,Welcome to PHU (Twinned Trilogy),Urban Fantasy,Webseries,On page,Lead,"Note on the QPP: it is not defined that way, but the pairing seemed important, so I put it as 'yes'. Alaric has issues with a very traditional family. While his sexuality has not been brought up as a problem explicitly, it is implied that it might be (the issues mostly revolve around his magical Talent).","Grieving, FWB, anger management issues. The book and series as a whole also has other LGBTQIA+ representation.",
174,128,The Loveless Princess,,Fantasy,Novella,On Page,Lead,"Aromisia, acemisia, on-screen sexual assault, conflates sex and romance repulsion with aromanticism",Homomisia and mention of off-screen rape,
224,157,Hart's Farm,,Historical Fantasy,Webseries,Word of God,Main,,,
175,129,Radio Silence,,Contemporary,Novel (short),Word used,Side,"Depression, suicide ideation, eating disorder.",,
176,130,A Courtship of Dragons,Dragonlands,Fantasy,Novel (short),On page,Lead,,,
177,131,The Stakeout Blues,Spindle City Mysteries,Fantasy,Novella,On page,Lead,,,
178,131,The Case of the Little Bloody Slipper,Spindle City Mysteries,Fantasy (Retelling),Novella,Word of God,Side,,,
179,131,The Price You Pay Is Red,Spindle City Mysteries,Fantasy (Retelling),Novella,Word of God,Side,,,
180,131,The Long and Silent Ever After,Spindle City Mysteries,Fantasy (Retelling),Novella,Word of God,Side,,,
181,132,The Trouble with Grace,Lords of Time,Historical Romance,Novel (short),On page,Lead,This book is *built* on acemisia. Marrying the MC is seen as punishment. She calls herself abnormal. She is the prop coming between two gay cousins' happy love life.,"Racism, romanticizes abusive relationships, lots of mysogyny, explicit sex scenes, incest.",
182,133,The King's Peace,Tir Tanagiri,Fantasy,Novel (long),On page,Lead,Sexual assault,,
183,133,The King's Name,Tir Tanagiri,Fantasy,Novel (long),On Page,Lead,,,
184,134,Guardian of the Dead,,Urban Fantasy,Novel (long),Word used,Side,,,
185,135,Night Calls,Night Calls,Fantasy,Novel (short),Word of God,Lead,,,
186,136,Eye of the Storm,Beyond Binary,Fantasy,Short story,On page,Lead,,,
187,137,The Loveless Princess,,Fantasy,Novella,On page,Side,"He's the antagonist. Aromisia, acemisia, on-screen sexual assault, conflates sex and romance repulsion with aromanticism",Homomisia and mention of off-screen rape,
188,138,Family,The Dreamhealers,SF,Novella,On page,Lead,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,,
189,138,In Extremis,Princes' Game,SF,Novel (long),On page,Main,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,"Violence, torture, mind control",
190,138,Some Things Transcend,Princes' Game,SF,Novel (long),On page,Main,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,"Violence, torture, mind control",
191,138,Dreamhearth,The Dreamhealers,SF,Novel (long),On page,Lead,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,,
192,138,The Snow Maiden,The Dreamhealers,SF,Short story,On page,Main,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,,
193,138,Amulet Rampant,Princes' Game,SF,Novel (long),On page,Main,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,,
194,138,Only the Open,Princes' Game,SF,Novel (long),On page,Main,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,"Violence, torture, mind control",
195,138,Mindline,The Dreamhealers,SF,Novel (long),On page,Main,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,Drug usage,
196,138,Mindtouch,The Dreamhealers,SF,Novel (long),On page,Main,Part of centaur alien species that does not experience sexual or romantic attraction. This is implied to be an hormonal consequence.,(Side) character death,
197,139,Cantor for Pearls,Twin Kingdoms,Fantasy Romance,Novel (short),On page,Main,Uses 'it' as one of its nonbinary pronouns,Uses 'em' as one of its nonbinary pronouns.,
198,139,Thief of Songs,Twin Kingdoms,Fantasy Romance,Novel (short),On page,Main,Uses 'it' as one of its nonbinary pronouns,Uses 'em' as one of its nonbinary pronouns,
199,140,Laisrathera,Her Instruments,SF,Novel (long),On page,Main,,,
200,140,Rose Point,Her Instruments,SF,Novel (long),On page,Main,,,
201,140,Earthrise,Her Instruments,SF,Novel (long),On page,Main,,,
202,140,A Rose Point Holiday,Her Instruments,SF,Novel (long),On page,Main,,,
203,141,The Goose Girl,,Fantasy,Novella,Word of God,Lead,,,
204,142,Sex with Ghosts,Beyond Binary,SF,Short story,On page,Lead,,,
205,143,Afterworlds,,Contemporary,Novel (short),Word of God,Lead,,,
206,144,Stranger,The Change,Post-Apocalyptic,Novel (long),On page,Main,,,
207,145,Texture Like Sun,,Urban Fantasy,Novella,On Page,Lead,,,
208,146,Dust on the Wing,,Science Fiction,Novella,On Page,Lead,Allosexual partner pressures character into sex.,,
209,147,Lunaside,,Contemporary Romance,Novel (short),Word Used,Side,,,
210,148,27 Hours,The Nightside Saga,Science Fiction,Novel (long),Word Used,Main,No exploration or mention of romantic orientation. (Placed as alloromantic from Word of God),Reinforces colonialism,
211,149,Quicksilver,Ultraviolet,Science Fiction,,On Page,Lead,"Character is an alien. Reads as aromantic until the end, where she suddenly gets in a romantic relationship.",,
212,149,Ultraviolet,Ultraviolet,Science Fiction,,Word of God,Side,Character is an alien.,,
213,150,Ancillary Justice,Imperial Radch,Science Fiction,Novel (long),Word of God,,,,
214,150,Ancillary Sword,Imperial Radch,Science Fiction,Novel (long),Word of God,,,,
215,150,Ancillary Mercy,Imperial Radch,Science Fiction,Novel (long),Word of God,,,,
216,151,Daughter of the Burning City,,Fantasy,Novel (long),Word of God,Side,"Novel contains *some* support for this rep, see Jessie's review for details. Character is not fully human (an illusion), though he is sentient and with agency.",,
217,152,Part & Parcel,Sidewinder,"Contemporary, Romance",Novel (short),Word used,Side,,,
218,153,Part & Parcel,Sidewinder,"Contemporary, Romance",Novel (short),Word used,Lead,,,
219,153,High & Tight,Sidewinder,"Contemporary, Romance",Novel (short),Word of God,Lead,,,
220,153,Cross & Crown,Sidewinder,"Contemporary, Romance",Novel (short),Word of God,Lead,,,
221,154,All Note Long,Perfect Harmony,Contemporary Romance,Novel (short),Word used,Main,The demi MC is introduced to the term through an allosexual friend.,,
222,155,Empty Net,Scoring Chances,"Romance, Sports",Novel (short),Word of God,Main,,,
223,156,The Trouble with Tony,Sex in Seattle,"Romance, Mystery",Novel (short),On page,Lead,,Sexual assault,
225,158,The Underground Gardens,The Odd Trio,Fantasy,Webseries (short),Word of God,Main,,,
226,158,Hope of the Future,The Odd Trio,Fantasy,Webseries (short),On page,Main,,,
227,158,The Odd Trio,The Odd Trio,Fantasy,Webseries (short),Word of God,Main,,,
228,159,An Unexpected Connection,Polychrome Heroics,SF,Webseries,Word of God,Main,,See individual poems for detailed TWs and CWs for each entry.,
229,160,To Save Those in Peril Upon It,Polychrome Heroics,SF,Webseries,Word of God,Main,,See individual poems for detailed TWs and CWs for each entry.,
230,161,An Atmosphere of Understanding,Polychrome Heroics,SF,Webseries,Word used,Side,,See individual poems for detailed TWs and CWs for each entry.,
231,162,Path of the Paladins,,Fantasy,Webseries,On page,Main,,See individual poems for detailed TWs and CWs for each entry.,
232,163,An Atmosphere of Understanding,Polychrome Heroics,SF,Webseries,Word used,Side,,See individual poems for detailed TWs and CWs for each entry.,
233,164,Calliope,Polychrome Heroics,SF,Webseries,On page,Main,Vagary is still questioning his orientations.,,
234,165,Calliope,Polychrome Heroics,SF,Webseries,On page,Main,Calliope is transsexual and accidentally forced into a close mental bond with a supervillain. They're in therapy.,See individual poems for detailed TWs and CWs for each entry.,
235,166,Damask,Polychrome Heroics,SF,Webseries,On page,Main,,Clement is a member of a plural system. See individual poems for detailed TWs and CWs for each entry.,
236,167,Damask,Polychrome Heroics,SF,Webseries,On page,Main,,Maze is a member of a plural system. See individual poems for detailed TWs and CWs for each entry.,
237,168,Clay of Life,,Fantasy,Webseries,,Main,"As a golem, Yossele falls under the ""aros and aces are inhuman"" trope.",,
238,169,Hart's Farm,,Historical Fantasy,Webseries,On page,Main,Homosexual attraction when it occurs,See individual poems for detailed TWs and CWs for each entry.,
239,170,Hart's Farm,,Historical Fantasy,Webseries,Word of God,Main,,,
240,171,Frankenstein's Family,,Fantasy,Webseries,On page,Side,The narrative leads are two allosexual men who are in a QPP and raising a son together.,See individual poems for detailed TWs and CWs for each entry.,
241,172,Path of the Paladins,,Fantasy,Webseries,On page,Main,,See individual poems for detailed TWs and CWs for each entry.,
242,173,Thaw,Seasons of Love,Romance,Novel (short),On page,Main,,,
243,174,Ace,,Romance,Novel (short),Word of God,Main,,,
244,175,A Gentleman's Position,Society of Gentlemen,Historical Romance,Novel (long),Word of God,Main,,,
245,176,Tash Hearts Tolstoy,,Contemporary,Novel (short),Word used,Lead,"Amisia, Allo Saviour narrative, defines aceness as not wanting sex",,
246,177,The Bone People,,Literary Fiction,Novel (long),On page,Lead,,,
247,178,Not Even Close,,Paranormal Romance,Novella,Word used,Lead,,,
248,179,Model Citizen,,"Mystery, Romance",Novel (short),On page,Main,,,
249,180,Far from home,Belladonna Ink,Contemporary Roamnce,Novel (short),Word used,Main,Rachel is anorexic. The book features the Allosexual Saviour trope and includes several amisic comments.,Rachel is a recovering anorexic and relapses. Book contains bi-erasure and transmisia.,
250,181,Taking the Long Way,,Contemporary Romance,Novel (short),On page,Main,,,
251,182,The Painted Crown,Unbreakable Soldiers,Fantasy,Novel (long),On page,Main,,Attempted suicide,
252,183,The Painted Crown,Unbreakable Soldiers,Fantasy,Novel (long),On page,Main,,Attempted suicide,
253,184,Overexposed,In Focus,Romance,Novel (short),Word of God,Lead,,,
254,185,The Pardoner's Tale,,"Paranormal Romance, Urban Fantasy",Novel (short),Word of God,Main,,,
255,186,Without Benefits,,Romance,Novel (short),Word of God,Lead,,,
256,187,The Raven King,All for the Game,"Contemporary Romance, Sports",Novel (short),On page,Lead,,,
257,187,The Foxhole Court,All for the Game,"Contemporary Romance, Sports",Novel (long),On page,Lead,Heavily implied connection between aceness and abuse.,"Major TW for several instances of abuse (emotional, physical, verbal). Also drugs, drug abuse, racism, homomisia, sexual assault, rape jokes, suicide, ableism (especially wrt mental health), alcoholism",
258,187,The King's Men,All for the Game,"Contemporary Romance, Sports",Novel (short),On page,Lead,,,
259,188,Into the Blue,,Romance,Novel (short),Word of God,Lead,,,
260,189,Inertia,Newton's Laws,Fantasy,Novel (short),Word of God,Lead,,,
261,190,Salt in the Water,A Lesser Dark,Post-Apocalyptic,Novel (long),Word of God,Lead,,,
262,191,Concourse,Five Boroughs,Contemporary Romance,Novel (long),On page,Main,Romantic and sexual attractions not well distinguished.,,
263,192,High and Tight,,Romance,Novella,Word of God,Main,,,
264,193,Frankenstein's Family,,Fantasy,Webseries,On page,Lead,"Victor and Igor are sexually fluid. The stronger their QPP gets, the less they're interested in sexual relationships with anyone",See individual poems for detailed TWs and CWs for each entry.,
265,194,Frankenstein's Family,,Fantasy,Webseries,On page,Lead,"Victor and Igor are sexually fluid. The stronger their QPP gets, the less they're interested in sexual relationships with anyone",See individual poems for detailed TWs and CWs for each entry.,
266,195,Heels Over Head,,Romance,Novel (short),On Page,Side,,,
267,196,Ramona Blue,,Romance,Novel (long),Word Used,Side,Ruth stating she is demisexual is treated as sort of a joke. Story states that human beings think about sex.,,
268,197,The Gentleman's Guide to Vice and Virtue,Guide,Historical,Novel (long),Word of God,Side,"Questionning character. This is not explored yet, but has been confirmed by author. Placed in the umbrella until we have more information (she leads Book 2)","homomisia, bimisia, ableism, child abuse, abuse, racism, sexism, depression/PTSD, suicidal ideation, slut shaming, minor gore, and violence (non-graphic)",
269,197,The Lady’s Guide to Petticoats and Piracy,Guide,Historical,Novel (long),On Page,Main,,"internalized misogyny, homomisia, bimisia, ableism, child abuse, abuse, racism, sexism, minor gore, and violence (non-graphic)",
270,198,Seven Ways We Lie,,Contemporary Romance,,Word Used,Main,Valentine's consent is constantly pushed or ignored. Character is a loner.,,
271,199,Antisocial,,Contemporary Romance,Novel (short),Word Used,Lead,"Allosexual Saviour Trope, acemisia, complete absence of questioning or acknowledging romantic attractions,","Huge fetishization of Japanese culture,",
272,200,Blank Spaces,Toronto Connections,Contemporary Romance,Novel (short),On Page,Lead,"Sexual boundaries pushed by allo partner, [ending spoilers] open relationship for partner's sexual needs","Calorie counting and other issues regarding body and weight, homomisia",
273,201,The Ibex Tattoo,Dates 2,Historical Fiction,Short Story,On Page,Lead,,,
274,202,The Pardoner's Tale,,Urban Fantasy,Novella,Word of God,Lead,,,
275,203,Uncommonly Tidy Poltergeists,,Paranormal,Novella,Word Used,Lead,,,
276,204,Hope in Nautical Dusk,Opal Charm,"Urban Fantasy, YA",Novel (long),Word Used,M,,She is black-coded.,
277,205,His Quiet Agent,The Agency,"Contemporary, Romance",Novella,Word Used,Lead,"Second ace character (Martin) nicknamed ""Alien Agent""","Love interest has mild food issues, and is injured off screen in line of duty as a secret agent. Off screen death of father, going home to make arrangements.",
278,205,Merlin in the Library,The Agency,"Contemporary, Romance",Short story,Word of God,Main,,,
279,206,Lone Star on a Cowboy Heart,,Western,Novella,On Page,Lead,Divorced because he felt his wife deserved better than someone who didn't want sex,,
280,207,All the Wrong Places,,Contemporary Romance,Novel (short),Word Used,Lead,Has been dumped three times because he didn't meet partners' needs,This is an ace/ace romance!,
281,208,All the Wrong Places,,Contemporary Romance,Novel (short),Word Used,Main,,This is an ace/ace romance!,
282,209,How to Not Summon Your True Love,,"Urban Fantasy, Romance",Novella,Word Used,Lead,,,
283,210,Mr March Names the Stars,,Contemporary Romance,Novella,Word Used,Lead,,,
284,211,Mr March Names the Stars,,Contemporary Romance,Novella,Word Used,Main,,,
285,212,How to Be A Normal Person,How to Be,Contemporary Romance,Novel (short),On Page,Main,,,
286,212,How to Be a Movie Star,How to Be,Contemporary Romance,Novel (short),On Page,Side,,,
287,213,Perfect Rythm,,Contemporary Romance,,Word Used,Lead,"Initially defines asexuality as not liking sex, allo partner is initially very acemisic, never apologizes","Contains a sex scene, which comes with its own tw in the book! Also contains an aroace side character and a QPR",
288,214,Second Chance,Violet Hill,Contemporary Romance,Novella,Word Used,Lead,,Bisexual/Biromantic,
289,215,More Than Enough,,Fantasy (Retelling),Novella,On Page,Lead,,,
290,216,More Than Enough,,Fantasy (Retelling),Novella,On Page,Main,,,
291,217,Birthday Landscapes,"Queerly Loving, vol 1",Fantasy,Anthology,Word Used,Side,"Aromantic is word used, demi-sexuality is word of god",,
292,218,Birthday Landscapes,"Queerly Loving, vol 1",Fantasy,Anthology,Word Used,Lead,"Aromantic is on page, grey ace is word of god",disabled character,
293,219,"Stake Sauce Arc 1: The Secret Ingredient is Love, No Really",Stake Sauce,"Urban Fantasy, Romance",Novella,Word Used,Lead,,"Trans character, PTSD and trauma, disability (lost leg). Some gore through the story.",
294,219,Stake Sauce Arc 2: Everybody's Missing (Somebody),Stake Sauce,"Urban Fantasy, Romance",Novella,Word Used,Lead,,,
295,220,"Stake Sauce Arc 1: The Secret Ingredient is Love, No Really",Stake Sauce,"Urban Fantasy, Romance",Novella,Word Used,Side,,Some gore through the story.,
296,221,The Trouble,,"Contemporary, ""Romance""",Novella,Word Used,Lead,,Explicit sexual content,
297,222,Any Way the Wind Blows,Solitary Travelers (LT3),"Contemporary, ""Romance""",Novella,Word Used,Lead,,,
298,223,Any Way the Wind Blows,Solitary Travelers (LT3),"""Contemporary, """"Romance""""""",Novella,Word Used,Lead,,,
299,224,Second Position,District Ballet Company,"Contemporary, Romance",Novel (short),On Page,Lead,,eating disorder/self harm/addiction talk,
300,224,Finding Center,District Ballet Company,"Contemporary, Romance",Novel (short),On Page,Lead,,eating disorder/self harm/addiction talk,
301,225,At the Edges,Solitary Travelers,"Science-fiction, Romance",Novella,Word Used,Lead,,"In world bigotry, slavery",
302,226,As Autumn Leaves,Solitary Travelers,"Contemporary, Romance",Novella,Word Used,Lead,Questioning storyline,,
303,227,Lost and Found,Solitary Travelers,"Urban Fantasy, Romance",Novella,On Page,Lead,Non-human ace character,Fatphobia,
304,228,Welcome to Your Afterlife,Solitary Travelers,"Fantasy, Romance",Novella,Word Used,Lead,Touch averse. Dead when story starts. Supposed to work as a succubus,,
305,229,We Go Forward,,Contemporary,Novella,Word Used,Lead,,,
306,230,Endless Days of Summer,,"Contemporary, Romance",Novel (short),Word Used,Lead,Coming of age,"sexual violence, emotional manipulation/abuse",
307,231,Making Love,,"Fantasy, Romance",Novella,On Page,Lead,,Anti-aro content,
308,232,Not Your Sidekick,Sidekick Squad,SF/Fantasy,Novel (short),On Page,Side,Questioning character. Latinx.,,
309,232,Not Your Villain,Sidekick Squad,SF/Fantasy,Novel (short),On Page,Side,Questioning character. Latinx.,,
310,232,Not Your Backup,Sidekick Squad,SF/Fantasy,Novel (short),Word Used,Lead,Questioning character. Latinx.,,
311,233,Let's Talk About Love,,"Contemporary, Romance",Novel (short),Word Used,Lead,"Black ace lead! Very clear and detailed examples of anti-aceness (all discussed, called out, etc.), discussion of the ace spectrum and some questioning, discussion of different types of attractions",,
312,234,Before I Let Go,,Contemporary Mystery,Novel (long),Word Used,Lead,,"Trigger warnings: mental health, death of a friend, fire, drowning, suicide",
313,235,A Murder's Hunt,,"Contemporary, Mystery (Caper)",Novella,Word Used,Lead,,"Violence, blood",
314,236,epicene,,Contemporary,Short Story,Word Used,Lead,,"Discusses social anxiety in depth, references to past violence",
315,237,Walking the Wall of Papered Peaces,Capricious Issue 9,Fantasy,Short Story,On Page,Lead,,Childhood friends to lovers,
316,238,Banner of the Damned,Sartorias-deles,Fantasy,Novel (long),Word Used,Lead,,Polyamory,
317,239,Mystery,Life On A String,Contemporary,Novel (Short),Word Used,Side,,"Alcohol, Wrong Medications, ""many other heavy topics"" (according to author)",
318,240,Mahou Shonen: Just Say No,,"Fantasy (Magical Girl, Dark)",Webseries,On Page,Main,Starts as stoic trope,"""Several heavy topics"" (according to author)",
319,241,Secondhand Origin Stories,Second Sentinels,"Superheroes, Young Adult",Novel (long),Word Used,Lead,,"Ableism, Homophobia. Story contains four queer MCs and a f/f relationship",
320,242,On A Summer Night,,"Young Adult, Contemporary, Romance",Novel (Short),Word Used,Main,"Ace antagonism, dealt with within story","Trans antagonism, panic attack on page",
321,243,Werecockroach,,Science Fiction (Science Fantasy),Novella,Word Used,Lead,Estranged from birth family,"Threads of violence, alien invasion, arson",
322,244,Werecockroach,,Science Fiction (Science Fantasy),Novella,Word Used,Main,"Touch averse, dislikes labels","Threats of violence, arson, alien invasion",
323,245,The Dragon of Ynys,,Fantasy,Novella,On Page,Lead,"Character endures a few microaggressions and unwanted advances as ""jokes""","Spiders, Off Page Avalanche, another character is a trans lesbian",
324,246,The Threshold,The Chronicles of Plagos City,"Urban Fantasy, Paranormal",Webseries,Word Used,Side,"Ace & Aro Antagonism, Boundary Issues with crush",Fantasy violence,
325,246,The Trials,The Chronicles of Plagos City,"Urban Fantasy, Paranormal",Webseries,Word Used,Lead,Ace & Aro Antagonism + Boundary Issues with crush,Fantasy violence,
326,247,The Trials,The Chronicles of Plagos City,"Urban Fantasy, Paranormal",Webseries,Word of God,Main,,,
327,248,The Threshold,The Chronicles of Plagos City,"Urban Fantasy, Paranormal",Webseries,Word of God,Side,,,
328,248,The Trials,The Chronicles of Plagos City,"Urban Fantasy, Paranormal",Webseries,Word of God,Side,,,
329,249,The Trials,The Chronicles of Plagos City,"Urban Fantasy, Paranormal",Webseries,Word Used,Lead,Helps others find community,"Off page, character copes through sex, drug use, and alcohol",
330,250,Networked,,Science Fiction,Webseries,On Page,Main,,"Ace & Aro Antagonism, Bullying, Misgendering",
331,251,Blood Prince / Le Prince de Sang,Scale Hearts,Fantasy,Novel (long),On Page,Lead,Aro antagonism + male character pressures Sasha to have a relationship despite refusal,,
332,252,Restraint,,Historical Romance,Novel (long),On Page,Side,"Described as ""lacking the passions that drives others"", willingly enters a sexless marriage with a gay man","Set in 1820s, m/m romance",
333,253,The Merchant's Love,Chronicles of Tournai,"Fantasy, Romance",Novel (long),On Page,Lead,,,
334,254,Syncopation,Twisted Wishes,Contemporary Romance,Novel (long),Word Used,Lead,Descriptions of past aro antagonism,"Alcohol, Workplace Abuse, Character being drugged by someone else, Stalking/Photos taken without consent, On Page sex, D/s",
335,255,Thrown Off Track,License to Love,Contemporary Romance,Novella,Word Used,Lead,Elements of Allo Saviour,"Explicit sex, references to undesired sexual activities due to pressures",
336,256,The Spy With the Red Balloon,The Balloonmakers,"Historical, Romance, Fantasy",Novel (long),On Page,Lead,,OUT October 2018,
337,257,The Facility,Psychic Underground,"Fantasy, Thriller, Paranormal",Novel (Short),Word Used,Lead,,Experimentations on people,
338,258,Margins and Murmurations,,"Science Fiction, Dystopia",Novel (long),On Page,Lead,,,
339,259,Baker Thief,Baker Thief,"Fantasy, Superhero",Novel (long),Word Used,Lead,,"Fire, human experimentation, human trafficking, witch hunts, food",
340,260,Baker Thief,Baker Thief,"Fantasy, Superhero",Novel (long),Word Used,Lead,,"Fire, human experimentation, human trafficking, witch hunts, food",
341,261,Baker Thief,Baker Thief,"Fantasy, Superhero",Novel (long),Word Used,Side,"Aromanticism discussed towards the end, Questionning","Fire, human experimentation, human trafficking, witch hunts, food",
342,262,Baker Thief,Baker Thief,"Fantasy, Superhero",Novel (long),Word of God,Main,,"Fire, human experimentation, human trafficking, witch hunts, food",
343,263,Baker Thief,Baker Thief,"Fantasy, Superhero",Novel (long),Word of God,Side,,"Fire, human experimentation, human trafficking, witch hunts, food",
344,264,Baker Thief,Baker Thief,"Fantasy, Superhero",Novel (long),Word of God,Side,Autochorissexual,"Fire, human experimentation, human trafficking, witch hunts, food",
345,265,Baker Thief,Baker Thief,"Fantasy, Superhero",Novel (long),Word Used,Side,"Nicknamed ""The Spinster"", an insult she reclaimed during a political campaign. Old aromantic mentor","Fire, human experimentation, human trafficking, witch hunts, food",
346,266,Curved Horizon,Camellia Clock Cycle,"Contemporary Romance, Science Fiction",Novel (long),Word Used,Lead,,"cw discussions and response to sexual assault and domestic abuse,",
347,267,Omen Operation,The Isolation Series,Science Fiction,Novel (short),Word Used,Main,,Listed in front matter of the book,
348,267,ECHO Campaign,The Isolation Series,Science Fiction,Novel (short),On Page,Main,,Listed in front matter of the book,
349,267,Legacy Strain,The Isolation Series,Science Fiction,Novel (short),Word Used,Main,,Listed in front matter of the book,
350,268,Dark Deeds,Keiko Series,Science Fiction,Novel (long),On Page,Lead,,Violence,
351,268,Dark Sky,Keiko Series,Science Fiction,Novel (long),On Page,Lead,,Violence,
352,268,Dark Run,Keiko Series,Science Fiction,Novel (long),Word of God,Main,,Violence,
353,269,Havesskadi,,Fantasy,Novel (short),On Page,Lead,,,
354,270,The Stroke of Thirteen,,"Urban Fantasy, Contemporary",Novel (short),Word of God,Lead,Indigenous character,"Minor characters death, gore and violence, lead has a panic attack on page",
355,271,Our Bloody Pearl,These Treacherous Tides,"Steampunk, Fantasy",Novel (short),On Page,Main,,,
356,272,Summer of Salt,,"Fantasy, Romance",Novel (short),Word Used,Side,tw rape,Protagonist's best friend,
357,273,Hullmetal Girls,,Science Fiction,Novel (long),Word Used,Lead,Character is forced to witness two others' sexual encounter through a telepathic,,
358,274,"Loose in the Heel, Tight in the Toe",Once Upon The Rainbow Volume 3,Fantasy,Short Story,On Page,Main,,,
359,275,Reality Wedding,Reality Star,"Contemporary, Romance",Novel (short),On Page,Side,,,
360,276,The Earl and the Artificer,The Ingenious Mechanical Devices,"Historical, Fantasy",Novel (long),On Page,Lead,Attempted sexual encounter,Set in the 1890s. Eilian's asexuality is explored in a side-plot in this story.,
361,276,The Earl of Brass,The Ingenious Mechanical Devices,"Historical, Fantasy",Novel (long),On Page,Lead,,Murder,
362,277,Darkling Roses,The Succubus Moon Series,Urban Fantasy,Novella,Word Used,Lead,,"Explicit sex, kidnapping",
363,277,Seeking Witches,The Succubus Moon Series,Urban Fantasy,Novella,Word Used,Lead,,"Explicit sex, zombies",
364,277,Rising Moon,The Succubus Moon Series,Urban Fantasy,Novella,Word Used,Lead,,,
555,413,I Spy a Wedding Dress Mess,The Courtyard Clairvoyant Mysteries,Mystery,Novella,Word Used,Lead,,,
365,278,The Ice Princess's Fair Illusion,Fairytale Verses,Fantasy (Retelling),Novella,Word Used,Lead,"Acemisia, aromisia, sexual assault, PTSD, parental/spousal death, illness, unsupportive parents",,
366,279,The Ice Princess's Fair Illusion,Fairytale Verses,Fantasy (Retelling),Novella,Word Used,Lead,,"Acemisia (tackled), aromisia (tackled), sexual assault (major tw), PTSD (major tw), parental/spousal death, illness, unsupportive parents",
367,280,The Ice Princess's Fair Illusion,Fairytale Verses,Fantasy (Retelling),Novella,Word Used,Side,Character is dead when story starts,"Acemisia (tackled), aromisia (tackled), sexual assault (major tw), PTSD (major tw), parental/spousal death, illness, unsupportive parents",
368,281,Same River Twice,,Mystery,Novel (short),On Page,Lead,,,
369,282,Eidolon,,"Romance, Science Fiction",Novel (long),Word Used,Lead,"Sex-averse (romance does not have sex), trauma survivor, character of colour","PTSD, depression, suicidal ideation. Mention of past sexual abuse. Attempted sexual coercion in a dream.",
370,283,Among the Glimmering Flowers,,Fantasy,Novel (long),On Page,Lead,,,
371,284,Help Wanted,Ashveil Academy,"Fantasy, Romance",Novella,On Page,Lead,Questioning for asexuality and gender,"Brief mentions of gender dysphoria, brief mentions of death including a very minor mention of a pet's death (natural causes)",
372,285,Now A Major Motion Picture,,"Contemporary, Romance",Novel (long),,Lead,,,
373,286,That's Not What Happened,,Contemporary,Novel (long),On Page,Lead,,TW School Shooting,
374,287,Dare Mighty Things,Dare Mighty Things,"Science Fiction, Young Adult",Novel (long),Word Used,Lead,,,
375,287,One Giant Leap,Dare Mighty Things,"Science Fiction, Young Adult",Novel (long),Word Used,Lead,,,
376,288,Ghosts in Quicksilver,Alkimia Fables,Urban Fantasy,Webseries,On Page,Main,,"Gore/violence, anti-blackness/racism, mental health struggles",
377,289,Ghosts in Quicksilver,Alkimia Fables,Urban Fantasy,Webseries,On Page,Lead,"Brown butch lesbian, has a stalker, prior sexual abuse/trauma. Adopted.","Character death (minor/pre-story), stalker with sexual undertones, gore/violence, offscreen/talked-about racism, mental health struggles",
378,290,Ghosts in Quicksilver,Alkimia Fables,Urban Fantasy,Webseries,On Page,Main,"Autistic ace. Prior sexual and familial abuse/trauma, ""Ice Queen"" trope (discussed)","Sexual abuse as backstory (not shown in detail), violence/gore, family death (backstory)",
